文本,识别结果,消极概率,积极概率,支持,反对,IP地址,评论者性别
动画也好，游戏也罢感觉还是要不断的尝试新东西，没必要纠结其意义，不然很容易失去热情。,消极,0.94,0.06,0,0,广东,Gender.MALE
"以偏概全，你光看网上声音大的群体就这样呗，与其说二次元是倒不如说大部分人对童年积攒的爱好兴趣带有滤镜，然后网上环境就这样，吵来吵去，真当所有人都跟一样和谐吗
实际上，你追电子设备，追星，在网上聊历史不都在吵来吵去",消极,0.99,0.01,1,0,浙江,Gender.UNKNOWN
不可否认的是历史是螺旋上升的，这个时代有些地方是不如以前。只不过因此就全盘否定现在的氛围和作品挺二极管的,消极,0.99,0.01,0,0,云南,Gender.FEMALE
大家都是臭看动画的，其实谁也没比谁好太多,消极,0.79,0.21,0,0,北京,Gender.MALE
你说的对 现在新出的新番如果我有兴趣还是会点开看的 但是你要我等然后去动漫花园扒资源下来看我可能不会这样做了 除非此番全网无版权我才去找下载 不然就随便看看好了 也不在参与讨论什么的,消极,1.0,0.0,1,0,广东,Gender.MALE
俺仍然自称二次猿哒～,消极,0.89,0.11,1,0,山东,Gender.FEMALE
新番老番资源就放在哪里看一眼不就好了，小登浪费人生中的十几小时不也能成遗老。老不老根本不是问题，根本问题是每个人品味都不同，不是每个人都有能客观判断能力的。,消极,1.0,0.0,1,0,四川,Gender.MALE
"身份认同是互联网最无聊的事情，如果有点货聊聊那就算了，谁知道嘴上说以前怎么怎么样到底是“它客观的经历过”还是它就只是嘴上说说。
每次看到这种感觉还不如“信我是秦始皇”有意思。
掰扯掰扯点细节我都算它牛掰了，毕竟我一个不是姨姥的天天考古都比某些人强，可想这玩意除了身份认同到底有多少含金量。",消极,0.63,0.37,1,0,上海,Gender.MALE
"追着新番
GBM玩着通关八遍的恶魔城晓月
等着法环的DLC
手游新池子又要氪
PS3还有好几个游戏没打
🐶屋人马怎么还没降价
新的东西层出不穷
只觉得一天24小时都有点不够用",消极,0.99,0.01,1,0,山东,Gender.FEMALE
其实是双向的吧很少跑续作粉丝楼下吹前作有多好，倒是试过好几次在完全和续作无关的话题里表达对前作的喜爱被人呛过,消极,0.96,0.04,0,0,广东,Gender.MALE
…你以为的厚古薄今，实际上，怎么这种番都能吹了,消极,0.99,0.01,0,0,广东,Gender.MALE
纯看动画的老登，老动画不也是有好有坏？还有特么的小范围享受一下的番你看看是老登在传还是扩圈后的一帮子小登在传。,消极,1.0,0.0,1,0,广东,Gender.MALE
当年我28感觉动漫新番都看不下去了，然后b站刷到了喜欢尼娅和大家，入手了ns然后就入了主机坑，又接触了大量喜欢的游戏。然后顺手买了ps5 。魂系列我本来玩不下去的太小儿麻痹了，我喜欢仁王2贝姐那种，然后ps5上有血源枪反很快，相对不那么小儿麻痹，然后去年打通了血源，然后再买了魂3老头环也打通了，(老头环22年首发买的steam版没玩进去) 看番方面以前是热血，后面到日常偶像百合，多尝试会发现自己喜欢的东西获得更多快了顺带说下以前玩火焰纹章风花雪月打通了，感觉不好玩，去年买了结合一口气200小时真特么好玩，原来只是风花雪月战旗不好玩,消极,0.99,0.01,1,0,上海,Gender.UNKNOWN
说到魔兽官方平台，确实现在正经人谁还玩那些快餐图啊，能凑够人小团体还不如开个二次元pvp地图，或者玩那些不走平台的群内图。,消极,1.0,0.0,1,0,广东,Gender.MALE
"不是互相扣帽子吗咋又成单向了？
见不得别人说老片好就扣个遗老帽子的时候就选择性无视是吧",消极,0.99,0.01,1,0,上海,Gender.MALE
最后你拿游戏王举例其实我不太赞同。我和身边的牌佬都是打牌不妨碍我们骂k社似嘛,消极,0.84,0.16,0,0,河南,Gender.UNKNOWN
题材的变动才表示业界在发展，要一直都是世界系动画才真的会腻吧,消极,0.98,0.02,1,0,河南,Gender.MALE
"
天道无常，历史无义，人心无恒，当回首往事时，谁能理解，谁能原谅？",积极,0.37,0.63,0,0,日本,Gender.MALE
零几年看的一部番叫猫愿三角恋入坑，到现在每个季度依旧会挑着看两三部，习惯了，感觉看番能给我带来快乐，就这么简单,消极,0.99,0.01,2,0,江苏,Gender.FEMALE
说真的，虽然感觉自己还年轻，但明显感觉到自己接受新事物的能力下降了，很多新番新漫画新小说已经没耐心看下去了，更多的是重看以前喜欢的,消极,0.99,0.01,0,0,浙江,Gender.UNKNOWN
在我看来不管是番剧还是游戏都是非常有活力的产业。每年都有好游戏玩好番看。,积极,0.4,0.6,0,0,江苏,Gender.UNKNOWN
以前和现在都一样，太阳底下没新事，只是多了个百度贴吧而已,消极,0.87,0.13,0,0,广东,Gender.MALE
别的我不知道，魔兽官方平台目前确实快餐图多，所以浓度高的基本都是小团体自建二次元图或者外国图的,消极,0.99,0.01,0,0,广西,Gender.MALE
我觉得问题很简单：不同时间段入宅的二次元根本不是同一个群体，不是同一种文化，不是同一个价值取向。遗老？新生代？圈外人罢了。我不是你的前辈，你不是我的后生，井水不犯河水,消极,1.0,0.0,0,0,上海,Gender.MALE
现在不是一堆不适合看动画的小登在说这种事？,消极,0.99,0.01,0,0,河北,Gender.MALE
你要尝试接触新事物，就不该来这里问老登们。很简单的例子：一个家长对孩子玩游戏这件事产生了“也许这不是件坏事”的想法。然后去问同龄人，你猜他能得到啥结果？,消极,0.99,0.01,1,0,陕西,Gender.MALE
终究是无限循环,消极,0.94,0.06,0,0,江苏,Gender.FEMALE
好沉重,积极,0.13,0.87,0,0,上海,Gender.FEMALE
"真能坚持十数年的遗老，早就学会适应和探求了吧？毕竟这么多年人家是真的经历过好几次版本大更了
至于坚持不下去的，那无非就是退坑了，他退出的那个圈子跟现在的圈子已经不是同一个了，他指点的那些东西跟新人又有什么关系呢？",消极,1.0,0.0,0,0,上海,Gender.MALE
女装子这词好久没见过了,中性,0.55,0.45,0,0,黑龙江,Gender.MALE
有意思,积极,0.15,0.85,0,0,广西,Gender.MALE
"厚古薄今是人类的传统。我看了下回复就发现我也是这样。
虽然我最喜欢的游戏不是我的初见作，但确实是我玩的前几作之一。
我漫画看得少所以都喜欢，轻小说就看了2部，也都喜欢，按下不表。
用我看的最多的，动画片，来举例吧。把bug级《猫和老鼠》去掉（虽然这是我的初见），我喜欢的确实都是我早年看的，而后续的我就没兴致（比如吹风机、小马宝莉，甚至熊出没我也没兴致）。",消极,0.88,0.12,0,0,浙江,Gender.MALE
